Date;Open;High;Low;Close;Volume
03/01/2014;21,092.5;21,105.0;21,087.5;21,075.0;
06/01/2014;21,092.5;21,120.0;21,085.0;21,080.0;
07/01/2014;21,092.5;21,120.0;21,085.0;21,075.0;
08/01/2014;21,092.5;21,120.0;21,085.0;21,080.0;
09/01/2014;21,095.0;21,103.5;21,087.5;21,075.0;
10/01/2014;21,087.5;21,096.0;21,082.5;21,072.0;
13/01/2014;21,092.5;21,117.5;21,082.5;21,060.0;
14/01/2014;21,090.0;21,097.5;21,085.0;21,072.0;
15/01/2014;21,097.5;21,117.5;21,085.0;21,070.0;
16/01/2014;21,090.0;21,120.0;21,085.0;21,080.0;
17/01/2014;21,092.5;21,115.0;21,085.0;21,070.0;
20/01/2014;21,092.5;21,120.0;21,085.0;21,070.0;
21/01/2014;21,110.0;21,120.0;21,085.0;21,075.0;
22/01/2014;21,092.5;21,102.5;21,085.0;21,070.0;
23/01/2014;21,092.5;21,095.0;21,075.0;21,065.0;
24/01/2014;21,082.5;21,115.0;21,070.0;21,060.0;
27/01/2014;21,062.5;21,080.0;21,060.0;21,035.0;
28/01/2014;21,035.0;21,035.0;21,035.0;21,035.0;
29/01/2014;21,035.0;21,035.0;21,035.0;21,035.0;
30/01/2014;21,035.0;21,035.0;21,035.0;21,035.0;
31/01/2014;21,035.0;21,035.0;21,035.0;21,035.0;
03/02/2014;21,035.0;21,035.0;21,035.0;21,035.0;
04/02/2014;21,035.0;21,035.0;21,035.0;21,035.0;
05/02/2014;21,110.0;21,110.0;21,110.0;21,075.0;
06/02/2014;21,097.5;21,110.0;21,082.5;21,080.0;
07/02/2014;21,107.5;21,112.5;21,097.5;21,085.0;
10/02/2014;21,107.5;21,125.0;21,090.0;21,085.0;
11/02/2014;21,105.0;21,115.0;21,100.0;21,090.0;
12/02/2014;21,107.5;21,117.5;21,097.5;21,080.0;
13/02/2014;21,107.5;21,115.0;21,097.5;21,085.0;
14/02/2014;21,097.5;21,106.0;21,092.5;21,070.0;
17/02/2014;21,097.5;21,107.5;21,095.0;21,080.0;
18/02/2014;21,097.5;21,107.5;21,092.5;21,080.0;
19/02/2014;21,097.5;21,106.0;21,092.5;21,080.0;
20/02/2014;21,097.5;21,106.0;21,092.5;21,080.0;
21/02/2014;21,097.5;21,110.0;21,095.0;21,085.0;
24/02/2014;21,107.5;21,122.5;21,090.0;21,085.0;
25/02/2014;21,102.5;21,122.5;21,090.0;21,085.0;
26/02/2014;21,097.5;21,122.5;21,090.0;21,080.0;
27/02/2014;21,097.5;21,107.5;21,092.5;21,080.0;
28/02/2014;21,097.5;21,122.5;21,090.0;21,080.0;
03/03/2014;21,097.5;21,122.5;21,090.0;21,085.0;
04/03/2014;21,097.5;21,107.5;21,092.5;21,080.0;
05/03/2014;21,097.5;21,122.5;21,090.0;21,080.0;
06/03/2014;21,097.5;21,107.5;21,095.0;21,080.0;
07/03/2014;21,095.0;21,105.0;21,092.5;21,080.0;
10/03/2014;21,100.0;21,105.0;21,092.5;21,080.0;
11/03/2014;21,095.0;21,106.0;21,087.5;21,080.0;
12/03/2014;21,095.0;21,121.5;21,087.5;21,080.0;
13/03/2014;21,095.0;21,120.0;21,087.5;21,080.0;
14/03/2014;21,095.0;21,110.0;21,092.5;21,080.0;
17/03/2014;21,100.0;21,106.0;21,092.5;21,070.0;
18/03/2014;21,105.0;21,127.0;21,087.5;21,075.0;
19/03/2014;21,097.5;21,110.0;21,092.5;21,075.0;
20/03/2014;21,097.5;21,106.0;21,092.5;21,075.0;
21/03/2014;21,097.5;21,110.0;21,085.0;21,075.0;
24/03/2014;21,097.5;21,125.0;21,087.5;21,075.0;
25/03/2014;21,097.5;21,110.0;21,092.5;21,075.0;
26/03/2014;21,097.5;21,125.5;21,087.5;21,075.0;
27/03/2014;21,097.5;21,110.0;21,090.0;21,080.0;
28/03/2014;21,102.5;21,107.5;21,092.5;21,085.0;
31/03/2014;21,107.5;21,115.0;21,090.0;21,075.0;
01/04/2014;21,097.5;21,110.0;21,088.5;21,075.0;
02/04/2014;21,097.5;21,110.0;21,092.5;21,075.0;
03/04/2014;21,095.0;21,112.5;21,091.5;21,070.0;
04/04/2014;21,092.5;21,107.5;21,092.5;21,070.0;
07/04/2014;21,092.5;21,110.0;21,092.5;21,075.0;
08/04/2014;21,095.0;21,115.0;21,092.5;21,075.0;
09/04/2014;21,075.0;21,075.0;21,075.0;21,075.0;
10/04/2014;21,095.0;21,110.0;21,092.5;21,075.0;
11/04/2014;21,095.0;21,112.3;21,085.0;21,094.5;
14/04/2014;21,092.5;21,112.3;21,083.0;21,075.0;
15/04/2014;21,097.5;21,112.5;21,084.0;21,095.0;
16/04/2014;21,097.5;21,110.0;21,092.5;21,075.0;
17/04/2014;21,097.5;21,155.0;21,084.0;21,075.0;
18/04/2014;21,097.5;21,114.0;21,085.5;21,075.0;
21/04/2014;21,100.0;21,167.5;21,085.0;21,075.0;
22/04/2014;21,097.5;21,110.0;21,092.5;21,075.0;
23/04/2014;21,102.5;21,115.0;21,095.0;21,090.0;
24/04/2014;21,107.5;21,110.0;21,095.0;21,085.0;
25/04/2014;21,102.5;21,110.0;21,095.0;21,080.0;
28/04/2014;21,105.0;21,120.0;21,085.0;21,070.0;
29/04/2014;21,092.5;21,112.0;21,073.0;21,060.0;
30/04/2014;21,060.0;21,060.0;21,060.0;21,060.0;
01/05/2014;21,060.0;21,060.0;21,060.0;21,060.0;
02/05/2014;21,060.0;21,060.0;21,060.0;21,060.0;
05/05/2014;21,095.0;21,110.0;21,085.0;21,070.0;
06/05/2014;21,092.5;21,120.0;21,085.0;21,075.0;
07/05/2014;21,092.5;21,105.0;21,090.0;21,070.0;
08/05/2014;21,092.5;21,117.5;21,090.0;21,080.0;
09/05/2014;21,097.5;21,115.0;21,090.0;21,080.0;
12/05/2014;21,097.5;21,110.0;21,085.0;21,075.0;
13/05/2014;21,097.5;21,110.0;21,085.0;21,075.0;
14/05/2014;21,092.5;21,107.5;21,092.5;21,085.0;
15/05/2014;21,107.5;21,122.5;21,095.0;21,100.0;
16/05/2014;21,122.5;21,165.0;21,100.0;21,140.0;
